pays;ISO3;region;sub-region
Afghanistan;AFG;Asie;Southern Asia
Åland Islands;ALA;Europe;Northern Europe
Albania;ALB;Europe;Southern Europe
Algeria;DZA;Afrique;Northern Africa
American Samoa;ASM;Oceanie;Polynesia
Andorra;AND;Europe;Southern Europe
Angola;AGO;Afrique;Sub-Saharan Africa
Anguilla;AIA;Amerique;Latin America and the Caribbean
Antigua and Barbuda;ATG;Amerique;Latin America and the Caribbean
Argentina;ARG;Amerique;Latin America and the Caribbean
Armenia;ARM;Asie;Western Asia
Aruba;ABW;Amerique;Latin America and the Caribbean
Australia;AUS;Oceanie;Australia and New Zealand
Austria;AUT;Europe;Western Europe
Azerbaijan;AZE;Asie;Western Asia
Bahamas;BHS;Amerique;Latin America and the Caribbean
Bahrain;BHR;Asie;Western Asia
Bangladesh;BGD;Asie;Southern Asia
Barbados;BRB;Amerique;Latin America and the Caribbean
Belarus;BLR;Europe;Eastern Europe
Belgium;BEL;Europe;Western Europe
Belize;BLZ;Amerique;Latin America and the Caribbean
Benin;BEN;Afrique;Sub-Saharan Africa
Bermuda;BMU;Amerique;Northern America
Bhutan;BTN;Asie;Southern Asia
Bolivia (Plurinational State of);BOL;Amerique;Latin America and the Caribbean
Bonaire Sint Eustatius and Saba;BES;Amerique;Latin America and the Caribbean
Bosnia and Herzegovina;BIH;Europe;Southern Europe
Botswana;BWA;Afrique;Sub-Saharan Africa
Bouvet Island;BVT;Amerique;Latin America and the Caribbean
Brazil;BRA;Amerique;Latin America and the Caribbean
British Indian Ocean Territory;IOT;Afrique;Sub-Saharan Africa
Brunei Darussalam;BRN;Asie;South-eastern Asia
Bulgaria;BGR;Europe;Eastern Europe
Burkina Faso;BFA;Afrique;Sub-Saharan Africa
Burundi;BDI;Afrique;Sub-Saharan Africa
Cabo Verde;CPV;Afrique;Sub-Saharan Africa
Cambodia;KHM;Asie;South-eastern Asia
Cameroon;CMR;Afrique;Sub-Saharan Africa
Canada;CAN;Amerique;Northern America
Cayman Islands;CYM;Amerique;Latin America and the Caribbean
Central African Republic;CAF;Afrique;Sub-Saharan Africa
Chad;TCD;Afrique;Sub-Saharan Africa
Chile;CHL;Amerique;Latin America and the Caribbean
China;CHN;Asie;Eastern Asia
Christmas Island;CXR;Oceanie;Australia and New Zealand
Cocos (Keeling) Islands;CCK;Oceanie;Australia and New Zealand
Colombia;COL;Amerique;Latin America and the Caribbean
Comoros;COM;Afrique;Sub-Saharan Africa
Congo;COG;Afrique;Sub-Saharan Africa
Congo Democratic Republic of the;COD;Afrique;Sub-Saharan Africa
Cook Islands;COK;Oceanie;Polynesia
Costa Rica;CRI;Amerique;Latin America and the Caribbean
Côte d'Ivoire;CIV;Afrique;Sub-Saharan Africa
Croatia;HRV;Europe;Southern Europe
Cuba;CUB;Amerique;Latin America and the Caribbean
Curaçao;CUW;Amerique;Latin America and the Caribbean
Cyprus;CYP;Asie;Western Asia
Czechia;CZE;Europe;Eastern Europe
Denmark;DNK;Europe;Northern Europe
Djibouti;DJI;Afrique;Sub-Saharan Africa
Dominica;DMA;Amerique;Latin America and the Caribbean
Dominican Republic;DOM;Amerique;Latin America and the Caribbean
Ecuador;ECU;Amerique;Latin America and the Caribbean
Egypt;EGY;Afrique;Northern Africa
El Salvador;SLV;Amerique;Latin America and the Caribbean
Equatorial Guinea;GNQ;Afrique;Sub-Saharan Africa
Eritrea;ERI;Afrique;Sub-Saharan Africa
Estonia;EST;Europe;Northern Europe
Eswatini;SWZ;Afrique;Sub-Saharan Africa
Ethiopia;ETH;Afrique;Sub-Saharan Africa
Falkland Islands (Malvinas);FLK;Amerique;Latin America and the Caribbean
Faroe Islands;FRO;Europe;Northern Europe
Fiji;FJI;Oceanie;Melanesia
Finland;FIN;Europe;Northern Europe
France;FRA;Europe;Western Europe
French Guiana;GUF;Amerique;Latin America and the Caribbean
French Polynesia;PYF;Oceanie;Polynesia
French Southern Territories;ATF;Afrique;Sub-Saharan Africa
Gabon;GAB;Afrique;Sub-Saharan Africa
Gambia;GMB;Afrique;Sub-Saharan Africa
Georgia;GEO;Asie;Western Asia
